transaction_id,corridor_id,from_country,to_country,send_amount_usd,total_fee_usd,total_fee_pct,amount_received_usd,estimated_delay_hours,num_hops,status,sanctions_risk,corridor_status,is_edge_case,edge_case_reason,is_synthetic,data_source
TXN-0001,COR-001,USA,IND,83309.09,6145.39,7.38,77163.7,23.1,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0002,COR-002,USA,MEX,75445.68,4195.22,5.56,71250.46,28.4,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0003,COR-003,USA,CHN,49363.97,2638.99,5.35,46724.98,26.0,2,COMPLETED,MEDIUM,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0004,COR-004,GBR,IND,8629.14,632.35,7.33,7996.79,27.4,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0005,COR-005,GBR,NGA,98084.58,8166.35,8.33,89918.23,60.2,3,MANUAL_REVIEW,HIGH,ACTIVE,True,Sanctions compliance hold,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0006,COR-006,UAE,IND,31063.59,1326.55,4.27,29737.04,18.9,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0007,COR-007,UAE,PAK,31414.9,1578.82,5.03,29836.08,16.4,2,COMPLETED,MEDIUM,RESTRICTED,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0008,COR-008,SGP,IDN,84088.7,2509.43,2.98,81579.27,16.7,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0009,COR-009,DEU,TUR,77586.68,3950.8,5.09,73635.88,14.3,4,PENDING,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0010,COR-010,USA,BRA,74170.63,4617.08,6.22,69553.55,29.6,4,DELAYED,LOW,ACTIVE,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0011,COR-011,AUS,IND,83623.49,5143.34,6.15,78480.15,16.1,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0012,COR-012,CAN,PHL,28756.18,1484.84,5.16,27271.34,27.2,2,DELAYED,LOW,ACTIVE,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0013,COR-013,JPN,VNM,29229.65,1608.43,5.5,27621.22,23.2,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0014,COR-014,USA,NGA,74512.13,7459.29,10.01,67052.84,111.4,4,DELAYED,HIGH,RESTRICTED,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0015,COR-015,GBR,PAK,53263.31,3994.64,7.5,49268.67,26.7,3,PENDING,MEDIUM,RESTRICTED,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0016,COR-016,DEU,IND,37188.31,1989.2,5.35,35199.11,25.6,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0017,COR-001,USA,IND,1419.71,105.49,7.43,1314.22,30.5,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
